id,answer
280,Nicholas
281,1857
282,Alfred Lord Tennyson
283,one
284,William Howard Russell
285,William Howard
286,Additionally
287,William Howard Russell
288,Located Southern Europe
289,nine
290,13-COMMA-676
291,nine
292,Central Greece
293,Philip
294,Phillip
295,Greece
296,AD
297,50
298,Organisation Economic Co-operation Development OECD
299,Greek
300,2001
301,Greece
302,Greece
303,Hellenic Republic
304,Empire's Balkan
305,Greeks'
306,Graecia
307,776
308,270-COMMA-000
309,Franchthi Cave
310,three
311,Neolithic
312,Athens
313,Constantinople
314,3200
315,Crete
316,Olympics
317,776
318,John
319,776
320,Greater
321,one
322,Greek
323,Greece
324,Located Southern Europe
325,Battle
326,BC
327,Greece
328,Greece
329,Peloponnesian War
330,Phillip
331,Philip
332,Philip
333,Mycenaean
334,Antigonid
335,146
336,168
337,Augustus
338,Romans
339,Nero
340,Virgil
341,Scipio Africanus
342,Greek
343,Muslim
344,393
345,Roman Catholic
346,Heptanesean Ionian School
347,492
348,Greece
349,Athens
350,Greece
351,Roman Empire
352,Athens
353,BC
354,Greece
355,1261
356,Byzantine
357,Achaea
358,Philip
359,Greece
360,Morea
361,1460
362,Iannis Xenakis
363,Ionian Islands
364,1797
365,Greek-speaking
366,Venetian
367,Cyprus Crete
368,Islam
369,Orthodox Christian
370,Slavic
371,1571
372,1571
373,1571
374,Epirus
375,Katharevousa
376,776
377,Mediterranean
378,Rigas Feraios
379,1798
380,1814
381,Filiki Eteria Society of Friends
382,Graecia
383,6 March 1821
384,1571
385,1821
386,Theodoros Kolokotronis
387,Aegean Sea
388,1824
389,two
390,Ibrahim Pasha
391,February 1825
392,1824
393,Egypt
394,United Kingdom France
395,Greek
396,Greece
397,1830
398,Greek
399,Western
400,Trikoupis'
401,Polytechnics
402,Dimotiki
403,1877
404,Peloponnesian
405,1881
406,King
407,two
408,1877
409,508
410,Students
411,Asia Minor
412,ESA
413,Greece
414,Ottoman Turkish
415,1.5million
416,Greece
417,Turkey
418,Georgios Kondylis
419,Asia Minor
420,Phillip
421,may
422,1924
423,Greece
424,Sunday
425,Nazis
426,Greece
427,Andreas Papandreou
428,Greek Evangelical Church Free Evangelical Churches
429,1980
430,1999
431,2001
432,Central Greece
433,Europe
434,13-COMMA-676
435,Eighty
436,Greece
437,2-COMMA-637
438,Western Greece
439,Mediterranean Sea
440,Vikos-Aoos National Park
441,Athens
442,Athens
443,Ionian Sea
444,Crete
445,northeast Euboea
446,Central Continental Greece
447,Pindus
448,Greece
449,Turkey
450,Peloponnese
451,Central Macedonia East Macedonia Thrace
452,Athens
453,Prime Minister
454,Greeks
455,Balkan Wars
456,Mediterranean
457,Mediterranean Region
458,West
459,Plato
460,President
461,Constitution
462,1952
463,1986
464,one
465,Nikos Kotzias
466,Nikos Kotzias
467,2001
468,President
469,Alexandros Ypsilantis
470,June
471,SYRIZA
472,SYRIZA
473,PASOK
474,29%
475,Eleftherios Venizelos
476,Nikos Kotzias
477,Ministry Foreign Affairs
478,one
479,Greece
480,may
481,may
482,may
483,may
484,1 January 2011
485,325
486,1 January 2011
487,Holy Mountain
488,Holy Mountain
489,Balkan
490,Balkan
491,85.0%
492,18%
493,Greece
494,Balkan
495,Bulgaria
496,2012
497,Albania
498,Greek Dark Ages
499,Balkan
500,Organisation Economic Co-operation Development OECD
501,19 June 2000
502,19 June 2000
503,Turkey
504,Greece
505,European
506,Italy
507,Eurostat
508,Aegean Sea
509,3-COMMA-150
510,1-COMMA-517
511,United Kingdom
512,2007
513,United Kingdom
514,Central Greece
515,2.6million
516,Greeks
517,Nikos Kotzias
518,Athens Thessaloniki
519,2-COMMA-000
520,340%
521,Europe
522,European Space Agency ESA
523,1994
524,2003
525,2005
526,2003
527,Dimitrios Galanos
528,Phillip
529,OECD
530,Computer Science
531,Computer Science
532,First World War
533,Asia Minor
534,Muslim
535,Greece
536,50-COMMA-000
537,50-COMMA-000
538,120
539,120
540,28-COMMA-874
541,1976
542,1976
543,Greek
544,Greek
545,Greek
546,Doric Greek
547,Greece Asia
548,Greece
549,Greek
550,500-COMMA-000
551,Greek
552,Sarakatsani
553,Arvanites
554,Greeks
555,400-COMMA-000
556,Greek
557,Northern Greece
558,7%
559,7%
560,Greece
561,600-COMMA-000
562,Greece
563,Afghanistan
564,Mediterranean Sea
565,2015
566,8%
567,Slavicspeaking
568,University of Constantinople Christian
569,1453
570,two
571,Universities
572,Technological Education Institutions TEI the School of Pedagogic Technological Education
573,Universities
574,35492007
575,2 3
576,State Non-University Tertiary Institutes
577,may
578,Capodistrian University of Athens
579,World Health Organization
580,Athens
581,176
582,77
583,1 July 2011
584,Ottoman Empire
585,Der Spiegel
586,Greece
587,Greeks
588,Prime Minister
589,Greece
590,AD
591,Heptanesean
592,Olympics
593,Parliamentary Candidate
594,Spyridon
595,Manolis Kalomiris
596,Plato
597,Aristotle
598,Greek
599,Triple Entente
600,two
601,Sappho Pindar
602,1931
603,1896
604,1896
605,Asty Films Company
606,
607,Daphnis Chloe 
608,50
609,sixty
610,Grigoris Grigoriou
611,Nikos Koundouros
612,Virgil
613,O Drakos
614,Theo Angelopoulos
615,Eternity Day
616,Giorgos Tzavellas
617,East Mediterranean
618,East Mediterranean
619,Western
620,Mediterranean
621,Greek
622,Mediterranean Region
623,2014
624,Ionian
625,Byzantine
626,six
627,Free Apostolic Church of Pentecost
628,Byzantine
629,Greek
630,Byzantine Church
631,Greeks
632,Byzantine Church
633,Greek
634,three
635,Greek
636,Cooperation ESA the Hellenic National Space Committee
637,Greece Turkey
638,Apostolos Kaldaras
639,Ionian Sea
640,1815
641,Manolis Kalomiris
642,Iannis Xenakis
643,Mikis Theodorakis
644,Mikis Theodorakis
645,Maria Callas
646,35
647,1974
648,Greeks
649,Greek-Swedish
650,Greece
651,Greece
652,776
653,Greece
654,Greece
655,38
656,UEFA
657,European Champions Euro
658,2014
659,one
660,Phillip II
661,UEFA
662,2012
663,2005
664,European Championship
665,Greek Men's Water Polo League Greek Women's Water Polo League
666,2011
667,2005
668,Croatia
669,Croatia
670,Croatia
671,two
672,Greece
673,Europe
674,two
675,Dodekatheon
676,Gods
677,Aristotle
678,Greek
679,Constantine
680,four
681,Sunday
682,eleven
683,Greek
684,May
685,53%
686,2013
687,billion
688,six
689,Alexander
690,Phillip
691,492
692,330
693,334
694,
695,
696,
697,
698,
699,
700,may
701,
702,LPC
703,
704,
705,279
706,LempelZiv LZ
707,Gzip PNG
708,LZR Lempel-ZivRenau
709,LZ-based
710,Microsoft's CAB
711,JPEG
712,Huffman
713,JPEG
714,
715,
716,
717,CD
718,
719,Huffman
720,CD
721,CD
722,
723,LPC
724,LZ
725,Data
726,Data
727,one
728,
729,
730,
731,Vorbis MP3
732,
733,HapMap
734,
735,DVDs
736,5
737,
738,Huffman
739,may
740,JPEG
741,may
742,LPC
743,
744,one
745,MPEG-2
746,
747,zero
748,LPC
749,HapMap
750,MPEG-4
751,AD
752,February 1988
753,IEEE Journal Selected Areas Communications JSAC
754,MPEG-1 Audio
755,Oscar Bonello
756,Oscar Bonello
757,PC
758,
759,
760,
761,one
762,one
763,HapMap
764,MPEG-2
765,JPEG
766,
767,HapMap
768,one
769,JSAC
770,
771,DV
772,one
773,ISO
774,N
775,DWT
776,
777,Chanda
778,
779,Old Avestan
780,Old Iranian
781,Iranic
782,Old Persian Avestan
783,Bactrian
784,Middle Iranian
785,Middle Iranian
786,Persian Sanskrit
787,1836
788,Christian Lassen
789,Robert Needham Cust
790,1878
791,Central Asia
792,Iranic
793,Andronovo
794,2000
795,Indo-European
796,Europe
797,Iranian
798,Middle Iranian
799,Dari
800,three
801,Old Persian
802,Middle Iranian
803,Avestan
804,Old Iranian
805,Old Avestan
806,Middle Iranian
807,Scythian
808,Avesta
809,Iranic
810,Iranic
811,two
812,Proto-Indo-Iranian
813,Avestan
814,Western Eastern
815,Iranian
816,may
817,Zarafshan valley
818,Central Asia
819,Middle Persian
820,Avestan
821,Eastern
822,Iranic
823,Dari
824,Middle Persian
825,Middle Iranian
826,Iranian
827,Persian
828,Eastern
829,Avestan
830,Persian Pahlavi
831,Saffarid
832,875
833,Khorasan
834,Pahlavi
835,Iranian
836,Latinised
837,Latinised
838,Latinised
839,Khuzestan
840,Turkic
841,CE
842,Caucasus
843,Scythian
844,West Africa
845,Bamako
846,Niger Senegal
847,Republic of Mali
848,1.25
849,France
850,1959
851,Azawad
852,three
853,Ghana Empire
854,Tuareg
855,National Movement the Liberation of Azawad
856,January 2012
857,Mali
858,28 July 2013
859,Ghana Empire
860,Ghana Empire
861,Mali Empire
862,Judar Pasha
863,European
864,19 November 1968
865,Moussa Traor
866,Amadou Toumani Tour
867,1974
868,three
869,1991
870,January 1991
871,General
872,1988
873,Bamako
874,22 March 26 March 1991
875,Revolution
876,Mali
877,300
878,300
879,Moussa
880,three
881,19 November 1968
882,three
883,three
884,Amadou Toumani Tour
885,Mali
886,26 March
887,Mali
888,1991
889,January 2012
890,January 2012
891,Tuareg
892,Mali Empire Mali
893,MNLA
894,Republic of Mali
895,December
896,Niger River
897,Inner Niger Delta
898,Mali
899,2012
900,22 March 2012
901,two
902,two
903,two
904,Judar Pasha
905,National Assembly
906,113
907,two
908,Ansar Dine
909,Mali
910,Sudan
911,Constitutional Court
912,Constitutional Court
913,Mali
914,2007
915,Mali
916,1996
917,12
918,Two
919,48
920,1-COMMA-000
921,200716.5
922,106
923,53.06
924,800-COMMA-000
925,200-COMMA-000
926,Arabic
927,Berber-descendent Tuareg
928,Mali
929,Tuaregs
930,Ansar Dine
931,MNLA
932,200-COMMA-000
933,Mali
934,Bamako
935,
936,22 March 2012
937,69
938,69
939,
940,Mali
941,International Crops Research Institute the Semi-Arid Tropics ICRISAT
942,International Crops Research Institute the Semi-Arid Tropics ICRISAT
943,International Crops Research Institute the Semi-Arid Tropics ICRISAT
944,Republic of Mali
945,Mali
946,2006 2001
947,1.9
948,Mali
949,Memories
950,Malian
951,28 July 2013
952,Tinariwen
953,Oumou Sangare
954,738-COMMA-432
955,738-COMMA-432
956,Alaskan
957,Alaska Highway
958,United States
959,U
960,Juneau
961,500
962,Aleutian Islands
963,Alexander Archipelago
964,Ketchikan
965,United States
966,Alaska Purchase
967,North America
968,United States
969,North Slope Little Diomede Island
970,54-COMMA-720
971,Unimak Island
972,Southeast
973,Unimak Island
974,10-COMMA-000
975,Quaker
976,Alaska
977,35 million
978,35 million
979,Juneau
980,35 million
981,101 million
982,Talkeetna
983,Quaker
984,Native
985,1991
986,50 130
987,2006
988,Southeast Alaska
989,50 130
990,Bering Sea the Gulf of Alaska
991,Bering Sea the Gulf of
992,Bering Sea the Gulf of
993,10 25
994,Alaska British Columbia
995,three
996,European
997,Intermarriage Alaskan Natives
998,Interior
999,United States
1000,Intermarriage Alaskan Natives
1001,Kheuveren Koyuk River
1002,Semyon Dezhnyov's
1003,Nikolai Daurkin
1004,Chukchi
1005,Yukon Territory
1006,1912
1007,1906
1008,Norway Sweden
1009,Norway Sweden
1010,January 3
1011,1946
1012,James Wickersham
1013,Alaska
1014,July 7
1015,Anchorage
1016,133
1017,133
1018,133
1019,March 27
1020,20
1021,Alaska's
1022,20
1023,20
1024,34%
1025,Alaska
1026,Pacific Northwest
1027,USA
1028,First Russian Orthodox Church
1029,Intermarriage Alaskan Natives
1030,Alaska
1031,Intermarriage Alaskan Natives
1032,2007 40-COMMA-042
1033,2007 40-COMMA-042
1034,80%
1035,one
1036,Anchorage Kodiak Island
1037,Department of Revenue Tax Division
1038,80%
1039,Intermarriage Alaskan Natives
1040,United States
1041,330-COMMA-000
1042,Prudhoe Bay Alaska's North Slope
1043,400-COMMA-000
1044,Prudhoe Bay Oil Field
1045,2.1million
1046,2-COMMA-420
1047,Alaska
1048,Alaska
1049,Alaska
1050,October 1998
1051,Alaska
1052,Alaska
1053,Census Bureau
1054,1976
1055,1795
1056,First Russian Orthodox Church
1057,Keith Miller
1058,1969
1059,North America
1060,Alaska Permanent Fund
1061,Alaska
1062,734-COMMA-000
1063,50 billion
1064,one
1065,Quaker
1066,1976
1067,Alaska Purchase
1068,North America
1069,Tanana Valley
1070,Talkeetna
1071,Statehood Alaska
1072,1
1073,United States
1074,3.8L
1075,Juneau
1076,Alaska Highway
1077,Alaska Highway
1078,1915
1079,Pacific Ocean
1080,Hammond
1081,one
1082,one
1083,Alaska
1084,Alaska Marine Highway
1085,The Inter-Island Ferry Authority
1086,Gulf Coast
1087,Anchorage
1088,Nome
1089,2 million
1090,Essential Air Service
1091,Alaska Airlines
1092,Bethel
1093,Boeing
1094,Cessna Caravan
1095,70%
1096,Northwest Arctic
1097,Lake Hood
1098,Aleutian Islands
1099,Lake Hood
1100,
1101,Nenana
1102,Anchorage Nome
1103,Togo Balto
1104,Nenana
1105,GCI Alaska Communications
1106,2011
1107,350 million
1108,GCI Alaska
1109,State Troopers Alaska's
1110,five
1111,seven
1112,United States
1113,Congress
1114,1964
1115,Johnson
1116,Alaska
1117,Anchorage
1118,Alaska Highway
1119,Sarah Palin
1120,34
1121,34
1122,North America
1123,Ketchikan-area
1124,355
1125,Alaska
1126,United States
1127,710-COMMA-231
1128,United States
1129,United States
1130,1912
1131,Public Safety Officers
1132,Troopers
1133,Troopers'
1134,Anchorage Symphony Orchestra
1135,Anchorage Opera
1136,Anchorage Folk Festival
1137,Alaska Native Ray Mala
1138,Camp Hollywood Northwest Alaska
1139,Camp Hollywood Northwest Alaska
1140,Mayer
1141,
1142,United States
1143,United States
1144,The Law
1145,
1146,The Law
1147,may
1148,one
1149,one
1150,United States
1151,one
1152,United States
1153,
1154,may
1155,UN
1156,United States
1157,The Law
1158,EU
1159,
1160,one
1161,
1162,The Law
1163,Congress
1164,The Law
1165,Treaties
1166,
1167,may
1168,may
1169,
1170,
1171,The Law
1172,one
1173,Articles
1174,United Nations
1175,DONE
1176,United Nations
1177,
1178,DONE
1179,DONE
1180,DONE
1181,may
1182,
1183,
1184,DONE
1185,two
1186,two
1187,EU
1188,two
1189,United States
1190,Iran
1191,EU
1192,Treaties
1193,Treaties
1194,Iran
1195,
1196,
1197,
1198,
1199,
1200,Supreme Court
1201,
1202,
1203,
1204,
1205,
1206,
1207,EU
1208,
1209,
1210,three
1211,State
1212,may
1213,one
1214,
1215,Treaties
1216,
1217,may
1218,United States
1219,
1220,United Nations Framework Convention Climate Change UNFCCC
1221,United Nations Framework Convention Climate Change UNFCCC
1222,San Francisco
1223,United States
1224,United States
1225,may
1226,may
1227,may
1228,one
1229,
1230,two
1231,
1232,may
1233,two
1234,two
1235,
1236,EU
1237,Treaties
1238,two
1239,
1240,
1241,one
1242,one
1243,one
1244,one
1245,
1246,Parliament of India
1247,may
1248,may
1249,may
1250,Iran
1251,UN
1252,UN
1253,One
1254,one
1255,one
1256,
1257,
1258,one
1259,Treaty
1260,United States
1261,may
1262,Treaty
1263,may
1264,Muhammad
1265,one
1266,one
1267,one
1268,56
1269,International Covenant Civil Political
1270,North Korea
1271,International Covenant Civil Political Rights
1272,
1273,International Covenant Civil Political
1274,one
1275,one
1276,one
1277,North Korea
1278,one
1279,one
1280,
1281,one
1282,one
1283,one
1284,
1285,may
1286,
1287,
1288,may
1289,
1290,may
1291,may
1292,may
1293,may
1294,may
1295,
1296,
1297,may
1298,may
1299,may
1300,may
1301,may
1302,may
1303,may
1304,Banu Qaynuqa
1305,Muhammad
1306,Muslim
1307,Banu Qaynuqa
1308,Congress
1309,Prophet Muhammad
1310,Al-Waqidi
1311,Al-Waqidi
1312,Tabari Ibn Hisham
1313,Two
1314,may
1315,Republic of Korea
1316,Supreme Court
1317,EU
1318,
1319,may
1320,United States
1321,State
1322,State
1323,may
1324,
1325,United States
1326,
1327,
1328,Treaties
1329,Treaty of Waitangi
1330,
1331,The Law
1332,The Law
1333,The Law
1334,United States
1335,
1336,Vienna Convention
1337,
1338,may
1339,
1340,may
1341,may
1342,may
1343,
1344,
1345,may
1346,may
1347,may
1348,
1349,
1350,Treaties
1351,United States
1352,
1353,San Francisco
1354,United Nations Charter
1355,San Francisco
1356,San Francisco
1357,UN
1358,United Nations
1359,United States
1360,one
1361,Office of Legal Affairs
1362,Office of Legal Affairs
1363,United States
1364,Iran
1365,United States
1366,UN
1367,Articles
1368,Federal Supreme Court
1369,84
1370,Federal Supreme Court
1371,Brazil
1372,84
1373,Portuguese
1374,2008
1375,one
1376,Federal Supreme Court
1377,Vienna Convention
1378,one
1379,one
1380,one
1381,one
1382,United States
1383,Congress
1384,may
1385,Congress
1386,Congress
1387,United States
1388,United States
1389,President
1390,President
1391,United States
1392,Head Money Cases
1393,Head Money Cases
1394,Reid
1395,Head Money Cases
1396,Constitution
1397,3
1398,Parliament of India
1399,Parliament of India
1400,Union
1401,Parliament of India
1402,EU
1403,Muhammad
1404,Mori of New Zealand
1405,Australians
1406,Australians
1407,Ethiopia Qing Dynasty China
1408,Union EU
1409,European
1410,Ethiopia Qing Dynasty China
1411,European
1412,New Zealand Canada
1413,Australians
1414,EU
1415,Queensland
1416,Europeans
1417,North Korea
1418,71
1419,1871
1420,United States
1421,United States
1422,San Francisco
1423,Summertime Blues
1424,2005
1425,Bohemian Rhapsody
1426,Born Be Wild
1427,Steel
1428,Canadian
1429,Want Know What Love Is
1430,The Boys Are Back Town
1431,Germany
1432,Slippery When Wet
1433,10 million
1434,eight
1435,1978
1436,Sammy Hagar
1437,1998
1438,Ballbreaker
1439,These Days
1440,Pat Benatar
1441,1993
1442,Metal Health
1443,Ratt
1444,Zeppelin
1445,Metallica
1446,Queen
1447,Axl Rose
1448,1975
1449,Let's Go Trippin'
1450,Memphis
1451,Exile Main St
1452,In Rock
1453,Deep Purple Led
1454,Van Halen
1455,Keith Moon
1456,Bon Scott
1457,Bon Scott
1458,Ronnie James Dio
1459,Guns N' Roses' Use Your Illusion
1460,Anthrax
1461,1990
1462,1990
1463,Hysteria Adrenalize
1464,Def Leppard Hysteria
1465,one
1466,2003
1467,Sweden's Witchcraft Australia's Wolfmother
1468,2005
1469,Los Angeles
1470,1983
1471,Elmore James
1472,Louie Louie
1473,British Invasion
1474,10
1475,one
1476,1966
1477,Bad Company
1478,1975
1479,Want Know What Love Is
1480,These Days
1481,British Heavy Metal
1482,High
1483,Hysteria Adrenalize
1484,1983
1485,8
1486,Van Halen's For Unlawful Carnal Knowledge
1487,one
1488,Alice Chains
1489,1975
1490,Britpop
1491,one
1492,US
1493,Canada
1494,Foo Fighters'
1495,These Days
1496,Heart
1497,Memphis
1498,American British
1499,REO Speedwagon Keep Loving
1500,Deep Purple
1501,Ritchie Blackmore
1502,Ritchie Blackmore
1503,ACDC Van
1504,1986
1505,The Kinks
1506,Ritchie Blackmore
1507,ZZ Top
1508,Bon Scott
1509,1975
1510,Aerosmith
1511,1987
1512,Extreme
1513,1983
1514,REO Speedwagon Keep Loving
1515,Jovi's
1516,Balance
1517,Steven Adler
1518,Gary Cherone
1519,Axl Rose
1520,1987
1521,Zeppelin
1522,1991
1523,Soundgarden
1524,New Wave
1525,Anthrax
1526,1970
1527,Deep Purple Led
1528,Steppenwolf
1529,Black Sabbath's Paranoid
1530,Black Sabbath's
1531,Van Halen
1532,REO Speedwagon Keep Loving
1533,Kansas
1534,Los Angeles
1535,David Lee Roth
1536,10 million
1537,Permanent Vacation
1538,40
1539,1987
1540,1987
1541,Rage Against the Machine Soundgarden Velvet
1542,1995
1543,ACDC
1544,Scott Weiland
1545,2008
1546,Charleston
1547,Charleston County
1548,North Charleston
1549,Charleston Harbor
1550,Ashley Cooper
1551,Charleston County
1552,Charleston Harbor
1553,South Carolina's
1554,1670
1555,British
1556,Charles Town
1557,Charleston
1558,548-COMMA-404
1559,1670
1560,Charles Towne
1561,British
1562,548-COMMA-404
1563,Mount Pleasant
1564,Public
1565,Mount Pleasant
1566,330.2
1567,548-COMMA-404
1568,Ashley River
1569,Charleston International
1570,June September
1571,City
1572,8.020
1573,Historic Charleston Foundation's Festival of Houses Gardens Charleston Antiques Show
1574,Charleston International
1575,June September
1576,6.015
1577,August 1
1578,Hurricane Hugo
1579,August 1
1580,Hurricane Hugo
1581,City
1582,548-COMMA-404
1583,Philadelphia
1584,9-COMMA-123
1585,Dorchester Counties
1586,Berkeley County
1587,Charleston County
1588,Charleston County
1589,Reconstruction Era
1590,Charleston International
1591,Reconstruction Era
1592,1670
1593,seven
1594,South Carolina
1595,John Locke
1596,1783
1597,Charleston International
1598,Charleston
1599,Johnson
1600,Charles Town
1601,Ashley River
1602,Charleston
1603,1830
1604,Bermuda
1605,South Carolina
1606,England
1607,Spain France
1608,Native Americans
1609,Fort Sullivan's
1610,Johnson
1611,Jack
1612,Toni Morrison
1613,400-COMMA-000
1614,Charleston
1615,Charles Town the Middle Passage
1616,Middle Passage
1617,1700
1618,1750
1619,Caribbean
1620,1700
1621,African
1622,Philadelphia
1623,Atlantic
1624,Charles Towne
1625,1708
1626,.10.25
1627,Cherokee Creek
1628,Europe Charles Town
1629,5-COMMA-239
1630,Atlantic
1631,54-COMMA-000
1632,Medical University of South
1633,1770
1634,1748
1635,1670
1636,America
1637,South Carolina
1638,Benjamin Lincoln
1639,2-COMMA-000
1640,Charleston
1641,Americans
1642,Siege
1643,1780 14-COMMA-000
1644,1776
1645,Benjamin Lincoln
1646,5
1647,Columbia
1648,1786
1649,1793
1650,Charleston
1651,Slaves
1652,3-COMMA-785
1653,1860
1654,8%
1655,1790
1656,1790
1657,Haitian Revolution
1658,May 1822
1659,July five
1660,July five
1661,Haitian Revolution
1662,Southern Baptist Church
1663,17-COMMA-000
1664,1808
1665,17-COMMA-000
1666,Philadelphia
1667,American Missionary Association
1668,American Missionary Association
1669,Jenkins
1670,William T
1671,United States Arsenal the Porter Military Academy
1672,57%
1673,73%
1674,Wade Hampton
1675,two
1676,two
1677,Democratic
1678,Charleston's African American
1679,one
1680,September 6
1681,Wade Hampton
1682,North Charleston
1683,August 31
1684,August 31
1685,Charleston International Airport
1686,The American College
1687,Charleston
1688,1895
1689,1889
1690,one million
1691,1896
1692,2015
1693,College
1694,Charleston
1695,College of Charleston
1696,2015
1697,Charleston
1698,Spoleto Festival USA
1699,100
1700,The Military College of South Carolina
1701,Charleston
1702,Footlight Players
1703,Marion Square
1704,1931
1705,Historic Charleston Foundation's Festival of Houses Gardens Charleston Antiques Show
1706,Charleston
1707,1887
1708,London
1709,College of Charles Towne
1710,Sylvester Primer of the College of Charleston
1711,1887
1712,one
1713,Charleston
1714,James Island County Park
1715,one
1716,Gian Carlo Menotti
1717,Primer
1718,Eubie Blake's Charleston Rag
1719,Eubie Blake's Charleston Rag
1720,Gullah
1721,Avery Institute Graduates
1722,1891
1723,Rev
1724,USA Europe
1725,Daniel J
1726,Charleston
1727,Daniel J
1728,DuBose Dorothy Heyward
1729,Folly Beach
1730,Charleston
1731,1934
1732,300
1733,300
1734,Russell Rusty Thomas
1735,Russell Rusty Thomas
1736,16
1737,Virginia Beach
1738,452
1739,452
1740,Greg Mullen
1741,2005
1742,United States
1743,Charleston
1744,Charleston
1745,West Ashley
1746,Medical University of South Carolina Medical Center MUSC
1747,Charleston Executive Airport
1748,Charleston Executive Airport
1749,City
1750,Charleston Executive Airport
1751,John's Island
1752,Charleston-North Charleston Urban Area
1753,Meeting Street
1754,East Bay Street
1755,26
1756,526
